FeatureID	Taxon
KJ812415	Bacteria;Firmicutes;Bacilli;Bacillales-Lactobacillales;Bacillaceae-Paenibacillaceae-Streptococcaceae;Bacillus-Paenibacillus-Streptococcus;Unknown
GU447237.1.1651	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales-Pseudomonadales;Enterobacteriaceae-Pseudomonadaceae;Klebsiella-Pseudomonas;Klebsiella_pneumoniae:Pseudomonas_aeruginosa-fluorescens-otitidis-phage-tropicalis
AM392286	Bacteria;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;Brucella_abortus-canis-ceti-melitensis-microti-neotomae-ovis-pinnipedialis-suis
KJ812418	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus_anthracis-bombysepticus-cereus-fungorum-mobilis-proteolyticus-thuringiensis-wiedmannii
JX986962	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas_alfalfae-axonopodis-campestris-citri-euvesicatoria-perforans-phaseoli
X95921	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;Xanthomonas_arboricola-axonopodis-campestris-hortorum-oryzae-vasicola-vesicatoria
JX986975	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia_cenocepacia-cepacia-contaminans-lata-metallica-multivorans-territorii
AJ492827	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_amygdali-avellanae-cannabina-chlororaphis-mandelii-silesiensis-syringae
CP011020.4769245.4770792	Bacteria;Proteobacteria;Betaproteobacteria-Gammaproteobacteria;Burkholderiales-Pseudomonadales;Burkholderiaceae-Pseudomonadaceae;Burkholderia-Pseudomonas;Burkholderia_cepacia:Pseudomonas_chlororaphis-fluorescens-granadensis-koreensis-putida-reinekei
AF074384	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas_azotoformans-fluorescens-gessardii-libanensis-mucidolens-synxantha-veronii
